"PLEASE do not sort this page, it will break the scripts (But manually add stuff where appropriate)",,,,Can be completed with v1.2.x data. Leave the class columns empty.
Class (Reference only) added to help with organizing efforts. Be nice and add them as you go.
,Game,,Server,Changed,,Client Duplicates
class (for reference only),Reference,class (for reference only),Reference,Name,Notes,188
a (PathPoint),func_1179_a,,func_730_a,isAssigned,Returns true if this point has already been assigned to a path,,[1]
a (PathPoint),func_1180_a,,func_731_a,distanceTo,Returns the linear distance to another path point
ad (IsomPreviewCanvas),func_1263_a,*,*,getDataFolder,Gets the minecraft directory.
aj (Vec3D),func_1246_b,,*,crossProduct,Returns a new vector with the result of this vector x the specified vector.
aj (Vec3D),func_1247_a,aw (Vec3D),func_766_a,getIntermediateWithXValue,"Returns a new vector with x value equal to the second parameter, along the line between this vector and the passed in vector, or null if not possible."
aj (Vec3D),func_1248_b,aw (Vec3D),func_768_b,createVector,Static method to create a new vector in the vector list and return it.
aj (Vec3D),func_1249_b,,*,rotateAroundY,Rotates the vector around the y axis by the specified angle.
aj (Vec3D),func_1250_b,aw (Vec3D),func_763_b,getIntermediateWithYValue,"Returns a new vector with y value equal to the second parameter, along the line between this vector and the passed in vector, or null if not possible."
aj (Vec3D),func_1251_c,aw (Vec3D),func_767_a,distanceTo,"Euclidean distance between this and the specified vector, returned as double."
aj (Vec3D),func_1252_b,aw (Vec3D),func_758_b,normalize,Normalizes the vector to a length of 1 (except if it is the zero vector)
aj (Vec3D),func_1253_c,aw (Vec3D),func_765_c,lengthVector,Returns the length of the vector.
aj (Vec3D),func_1254_e,aw (Vec3D),func_756_e,setComponents,"Sets the x,y,z components of the vector as specified."
aj (Vec3D),func_1255_d,aw (Vec3D),func_759_d,squareDistanceTo,"The square of the Euclidean distance between this and the vector of x,y,z components passed in."
aj (Vec3D),func_1256_c,aw (Vec3D),func_762_c,getIntermediateWithZValue,"Returns a new vector with z value equal to the second parameter, along the line between this vector and the passed in vector, or null if not possible."
aj (Vec3D),func_1257_c,aw (Vec3D),func_757_c,addVector,"Adds the specified x,y,z vector components to this vector and returns the resulting vector. Does not change this vector."
aj (Vec3D),func_1258_a,,*,rotateAroundX,Rotates the vector around the x axis by the specified angle.
aj (Vec3D),func_1259_a,aw (Vec3D),func_761_a,initialize,Initializes the next empty vector slot in the list to 0.
aj (Vec3D),func_1260_a,aw (Vec3D),func_760_a,createVectorHelper,"Static method for creating a new Vec3D given the three x,y,z values. This is only called from the other static method which creates and places it in the list."
aj (Vec3D),func_1261_d,aw (Vec3D),func_764_b,squareDistanceTo,The square of the Euclidean distance between this and the specified vector.
aj (Vec3D),func_1262_e,,*,subtract,Returns a new vector with the result of the specified vector minus this.
